,Company,Customer,Number_review,Language,Title,Date_review,Reply,Date_reply,Rating,Status,Experience Date
0,BoursoBank,casagrandi,3 reviews,FR,Facile direct  et super pratique et…,2 days ago,,,5,Invited,"Facile direct  et super pratique et…Facile direct  et super pratique et rapideDate of experience: November 15, 2023"
1,BoursoBank,Slimane Ouaichou,5 reviews,FR,Rapide simple et efficace,2 days ago,,,5,Invited,"Rapide simple et efficaceDate of experience: November 15, 2023"
2,BoursoBank,Christine ,2 reviews,FR,Simple rapide efficace,A day ago,,,5,Invited,"Simple rapide efficaceDate of experience: November 16, 2023"
3,BoursoBank,gérard PIQUOT,4 reviews,FR,PROFESSIONEL,5 days ago,,,5,Invited,"PROFESSIONELSimple, facile et rapideDate of experience: November 12, 2023"
4,BoursoBank,MARC-OLIVIER F,1 review,MQ,Simple et efficace,2 days ago,,,5,Invited,"Simple et efficaceDate of experience: November 15, 2023"
5,BoursoBank,Jean-Louis Piat,1 review,FR,Simple et fonctionnel,2 days ago,,,5,Invited,"Simple et fonctionnelDate of experience: November 15, 2023"
6,BoursoBank,Rachid B,1 review,FR,App simple et efficace,2 days ago,,,4,Invited,"App simple et efficaceDate of experience: November 15, 2023"
7,BoursoBank,Yan,7 reviews,FR,Great online bank,"Jan 30, 2023",,,5,Merged,"Great online bankGreat online bankGreat online bank! No additional fee, interface easy to use. Clear explanations for instance to manage shares. I've tried several online banks and it is the one I find better.If you use the following code you can earn 130 euros at the opening of your first accountJOBA7957Date of experience: December 13, 2022"
8,BoursoBank,ROEL JASPERS,6 reviews,FR,top comme application,"Nov 5, 2023",,,5,Invited,"top comme applicationLe site de Boursobank est simple d'utilisationDate of experience: November 05, 2023"
9,BoursoBank,Pushkar Kamble,1 review,FR,No customer Service Available,"Oct 29, 2023",,,1,Merged,"No customer Service AvailableThey have an offer called ""Welcome"", where they offer €100 for new account opening if referred by someone using the code. But that's a scam. It does not work. I opened a boursorama account with my friend's referral and I did not receive any money. And their customer service is bad. Nobody responds to your email. There's no ticketing system for your complaints. So you're on your own if something goes wrong. Better go for some bank which office physically exists, rather than a virtual bank. Boursorama is not safe because no customer service. NOBODY REPLIES TO YOUR EMAIL. Please DO NOT open boursorama bank account. There's no customer service whatsoever.Date of experience: October 29, 2023"
10,BoursoBank,Thierry Q,1 review,FR,Opposition de carte super rapide et…,"Oct 17, 2023",,,5,Merged,"Opposition de carte super rapide et…Opposition de carte super rapide et simple. Tip top !Date of experience: October 17, 2023"
11,BoursoBank,maximilien jooris,1 review,FR,Arnaque / Mauvaise fois à la clôture de banque,"Oct 18, 2023",,,1,Merged,"Arnaque / Mauvaise fois à la clôture de banqueBeware when closing your bank account at Boursorama ! They will suggest you to instead just ""suspend"" it so it can be easily reactivated later and so you can get notified in case of direct debit attempt on your account. But where they stick it to you is when they bill you for these direct debit requests (that are refused anyway), something that cannot happen on a definitely closed account And obviously, if you need to close your account for good you will have to pay these fees... Bad faith/theftDate of experience: October 18, 2023"
12,BoursoBank,MICHEL,6 reviews,FR,Simple il faut suivre les instructions…,"Oct 23, 2023",,,5,Invited,"Simple il faut suivre les instructions…Simple il faut suivre les instructions de BOURSOBANKDate of experience: October 23, 2023"
13,BoursoBank,Marco,14 reviews,FR,Useless if you use a VPN,"Oct 12, 2023",,,1,Merged,"Useless if you use a VPNUseless if you use a VPN since you cannot login nor verify online payments. Sure, it's for our ""protection""...but that ""protection"" is not optional...sounds familiar?All in all, an online bank for people with an offline mentality.Date of experience: October 11, 2023"
14,BoursoBank,HUGUENOT,1 review,FR,Suite à perte carte VISA,"Apr 11, 2023",,,5,Merged,"Suite à perte carte VISASuite à perte carte VISA, application d'opposition: la démarche en ligne est simple et efficace.Date of experience: April 10, 2023"
15,BoursoBank,Judith,3 reviews,FR,Blocking Revolut,"Sep 26, 2023",,,1,Merged,"Blocking RevolutThey decided to block Revolut because it is an online bank. Kind of hypocritical from an online bank as Boursorama is. So for travellers who use Revolut, do not come to Boursorama.Date of experience: September 26, 2023"
16,BoursoBank,Antonio Sanchez,7 reviews,FR,New customer lost - terrible customer service,"Jul 3, 2023",,,1,Merged,"New customer lost - terrible customer serviceAbsolutely terrible customer service. Their agents are rude and incompetent. I tried to open an investment (PEA) account with them over 5 times (wasted 1 month in total) and my file got rejected every single time with no further explanation other than 'try again'. Honestly, for an online bank, they really have no idea how to manage an online business. Seems they invest too much in marketing but zero in customer care. Start by training your customer service agents better! By the way, I opened my PEA with SAXO BANQUE -super easy and everything was set up in less than 3 days. I'm glad I didn't become a client of Boursorama in the end.Date of experience: July 03, 2023"
17,BoursoBank,Darshan Kanani,3 reviews,IN,Great comfortable experience,"Nov 28, 2022",,,5,Merged,"Great comfortable experienceIt was really fast and easy way to open a new bank account.Date of experience: November 28, 2022"
18,BoursoBank,Peter Maguire,5 reviews,GB,Absolutely useless!!,"Dec 7, 2022",,,1,Merged,"Absolutely useless!!Absolutely useless!!! Customer service is none existent, once you finally get connected to a real person and explain the problem you get cut off, or they transfer you to a technician wait for 10 minutes then get cut off, if you need to make a transfer form outside France forget it. If you use the bank for any other reason other then buying products with your card outside forget it,Date of experience: December 06, 2022"
19,BoursoBank,Ruy Martins,4 reviews,FR,Super pratique,"Oct 22, 2023",,,5,Invited,"Super pratiqueDate of experience: October 22, 2023"
20,BoursoBank,Borann C,1 review,FR,Programme,3 days ago,,,5,Invited,"ProgrammeExcellent et excellentDate of experience: November 14, 2023"
21,BoursoBank,KAREN N,1 review,FR,It does what it says on the label !!,"Oct 26, 2023",,,5,Invited,"It does what it says on the label !!Date of experience: October 26, 2023"
22,BoursoBank,benjamin lambert,2 reviews,FR,service top,"Oct 23, 2023",,,5,Invited,"service topDate of experience: October 23, 2023"
23,BoursoBank,M C,1 review,GB,they refuse checks (of more than 250 e),"Jun 19, 2023",,,1,Merged,"they refuse checks (of more than 250 e)I moved to Boursorama last year due to limitations of foreign online banks. Recently Boursorama stopped accepting checks of more than 250 e. It would more honest to simply refuse checks completely. Either way this makes them useless to me.Date of experience: June 19, 2023"
24,BoursoBank,Laumallet,2 reviews,FR,Rapide,"Sep 27, 2023",,,5,Merged,"RapideRapide, simple et efficaceDate of experience: September 27, 2023"
25,BoursoBank,GARDONI JEAN-PIERRE,3 reviews,FR,Rapide,"Oct 24, 2023",,,5,Invited,"RapideRapideSûreSimpleDate of experience: October 24, 2023"
