,Company,Customer,Number_review,Language,Title,Date_review,Reply,Date_reply,Rating,Status,Experience Date
0,Cofidis,BENJAMIN LE COQUET,1 review,FR,Super,A day ago,,,5,Invited,"SuperSimple, rapide et efficace.Date of experience: November 01, 2023"
1,Cofidis,MARICAR ANTONIO,1 review,FR,The process is very fast,"Oct 6, 2023",Bonjour Antonio. Je suis ravi que vous soyez satisfait de nos services ! N'hésitez pas à contacter nos conseillers si vous avez la moindre question. Je vous souhaite une bonne journée. Valentin de l'équipe Cofidis,"Oct 9, 2023",5,Invited,"The process is very fastThe process is very fast,the staff are nice ,I recommended,😍Date of experience: September 14, 2023"
2,Cofidis,KENZA ABDOU,1 review,FR,merci rapide efficace,"Oct 30, 2023","Bonjour Kenza, merci pour votre commentaire, c'est un plaisir de pouvoir vous apporter satisfaction. Je vous souhaite une belle journée ! Alycia de l'équipe Cofidis.","Nov 2, 2023",5,Invited,"merci rapide efficaceDate of experience: October 30, 2023"
3,Cofidis,ALAIN JONES,1 review,FR,The company is excellent,"Jan 4, 2023","Bonjour Alain.Merci, ça fait vraiment plaisir ! Nous ferons tout notre possible pour continuer à vous apporter satisfaction. A bientôt ! Antoine de l'équipe Cofidis.","Jan 4, 2023",5,Invited,"The company is excellentThe company is excellent. They are very good in all aspects. From enquiries to granting loans,and I always recommend them to my friends.Date of experience: December 29, 2022"
4,Cofidis,Gre Gory,4 reviews,FR,Simple rapide et efficace service…,"Nov 29, 2022","Bonjour Gregory,Rapide et efficace ! Enorme merci. 💪🏻 Je vous souhaite une agréable journée. Bettina de l'équipe Cofidis.","Nov 30, 2022",5,Invited,"Simple rapide et efficace service…Simple rapide et efficace service client au top et d’une grande gentillesseDate of experience: November 21, 2022"
5,Cofidis,Sophie Telliez,4 reviews,FR,Respect des dates et rapidite !,"Sep 15, 2023","Bonjour Mme Telliez, merci pour votre message. Votre satisfaction est notre plus belle récompense. Nous restons à votre disposition pour toutes questions ou demandes. Olivier de l'équipe Cofidis","Sep 18, 2023",5,Invited,"Respect des dates et rapidite !Date of experience: August 31, 2023"
6,Cofidis,KRISHANTH RAJASEGAR,1 review,FR,Good service and trust,"Oct 19, 2023","Bonjour Krishanth, merci beaucoup pour votre message. A très vite ! Wahiba de l'équipe Cofidis. 😉","Oct 19, 2023",5,Invited,"Good service and trustDate of experience: October 19, 2023"
7,Cofidis,Nicola Marini,2 reviews,IT,"Never subscribed to COFIDIS CLUB, impossible to talk to their support","Oct 6, 2023","Bonjour, je suis navré de lire votre commentaire et votre note. Je vous souhaite une bonne fin de journée. Julien de l'équipe Cofidis.","Oct 9, 2023",1,Invited,"Never subscribed to COFIDIS CLUB, impossible to talk to their supportIt's impossible to contact Cofidis reaching out a human being to discuss what follow: looks like someone has subscribed my wife to Cofidis Club on the 6th of September 2023, and we just realised today as she received the first charge after the free first month. Using the automated support tool we have been able to submit three requests (1 for cancellation, 1 indicating we do not remember signing for this service, 1 to request a refund). Anyway the only replies received are: 1 email with details of the CLUB (and the application form which my wife never received before)1 email indicating that the service has been deactivated but no details about a refund. Moreover, no customer ID is present in their email or application form.Date of experience: October 06, 2023"
8,Cofidis,MENDY CLAISSE,1 review,FR,Rapide simple efficace,"Sep 21, 2023","Bonjour Mendy,Merci beaucoup pour votre message.A très vite !Cyril de l'équipe Cofidis.","Sep 22, 2023",5,Invited,"Rapide simple efficaceDate of experience: September 01, 2023"
9,Cofidis,faissal bekhedda,12 reviews,FR,super merci cofidis,"Sep 23, 2023",Bonjour Faissal. Merci pour votre retour. A très bientôt chez Cofidis ! Jérôme de l'équipe Cofidis.,"Sep 25, 2023",5,Invited,"super merci cofidisDate of experience: September 23, 2023"
10,Cofidis,luca garofani,1 review,PT,Top service,"Sep 24, 2022",Bonjour Luca. Merci pour vos recommandations et votre confiance. 👌 Je vous souhaite une agréable journée. Jean-Michel de l'équipe Cofidis.,"Sep 26, 2022",5,Invited,"Top serviceTop service, money on my bank account in 12 hours!The requested documentation is minimum and they do not bother you requesting strange documents or documents in pdf format, etc. Highly recommended!Date of experience: September 22, 2022"
11,Cofidis,aurelie,2 reviews,FR,simple et affichage,"Sep 12, 2023",Bonjour Aurelie. Merci beaucoup pour votre note et votre commentaire. Je vous souhaite une belle journée. Matthias de l'équipe Cofidis.,"Sep 14, 2023",5,Invited,"simple et affichagesimple et efficaceDate of experience: September 11, 2023"
12,Cofidis,Preetham MYSORE,2 reviews,FR,"Simple, Rapide et Efficace","Feb 23, 2023","Bonjour Preetham.Simple, rapide et efficace !Enorme merci. 💪🏻 Je vous souhaite une agréable journée.Cyril de l'équipe Cofidis.","Feb 23, 2023",5,Invited,"Simple, Rapide et EfficaceSimple, rapide, et efficace :)Date of experience: February 22, 2023"
13,Cofidis,SPINDLER,5 reviews,FR,NEANT,"Sep 12, 2023","Bonjour Dominique,Merci pour votre retour. A très bientôt chez Cofidis ! Marion de l'équipe Cofidis.","Sep 14, 2023",5,Invited,"NEANTRIEN DE PRECISDate of experience: September 10, 2023"
14,Cofidis,Didier,4 reviews,US,RAS tout OK,"Oct 25, 2023",Bonjour Didier.Merci pour votre message. 😊A bientôt !Cyril de l'équipe Cofidis. ,"Oct 26, 2023",5,Invited,"RAS tout OKRAS tout OK….Date of experience: October 08, 2023"
15,Cofidis,BOGRAND,3 reviews,FR,PROFESSIONNEL-EFFICACE-CONDITIONS…,"Apr 5, 2022","Bonjour, Mr Bogrand, merci pour votre message. Votre satisfaction est notre plus belle récompense. Nous restons à votre disposition pour toutes questions ou demandes. Olivier de l'équipe Cofidis.","Apr 6, 2022",5,Invited,"PROFESSIONNEL-EFFICACE-CONDITIONS…PROFESSIONNEL-EFFICACE-CONDITIONS CLAIRES-pas DE SURPRISE;j'utilise vos services pour la 2eme fois et je suis satisfait.je recompte les réutiliser pour les prochains besoin;Date of experience: March 01, 2022"
16,Cofidis,DAMIEN,1 review,FR,Simple et rapide,"Mar 23, 2023",Bonjour Damien. Je vous remercie d'avoir pris le temps de nous laisser cette note 5 étoiles. N'hésitez pas à nous recontacter si vous avez la moindre question ! Je vous souhaite une bonne journée. Valentin de l'équipe Cofidis,"Mar 24, 2023",5,Invited,"Simple et rapideDate of experience: March 07, 2023"
17,Cofidis,Olivier,2 reviews,FR,Simple et rapide,"Mar 30, 2023",Merci pour votre retour. A très bientôt chez Cofidis ! Camille de l'équipe Cofidis.,"Mar 30, 2023",5,Invited,"Simple et rapideDate of experience: March 21, 2023"
18,Cofidis,Lazaro Morejon,3 reviews,FR,excellent service,"Jan 31, 2023","Bonjour Lazaro, merci pour votre retour. A très bientôt chez Cofidis ! Wahiba de l'équipe Cofidis.","Jan 31, 2023",5,Invited,"excellent serviceDate of experience: January 05, 2023"
