,Company,Customer,Number_review,Language,Title,Date_review,Reply,Date_reply,Rating,Status,Experience Date
0,Orange Bank,Beterscha Dank,3 reviews,NL,Pay attention opening a deposit,"Oct 14, 2023","Bonjour,Afin de faire le point sur votre situation , je vous invite à nous contacter au  01 43 60 01 52 si vous avez souscrit à une offre premium, ou à l'adresse mail suivante : information@contact.orangebank.frà bientôt,Margaux","Oct 17, 2023",1,Invited,"Pay attention opening a depositIf you have a deposit, Orange bank keeps your money longer than the deposit valid. Don't understand why but an end date is in my opinion an end date....Date of experience: October 13, 2023"
1,Orange Bank,Ramirez et Mandosa,2 reviews,FR,l'application orange bank est top,"Sep 26, 2023","Merci pour votre avis laissé ici. Nous sommes ravis de vous apporter entière satisfaction.Bonne journée,Lucas","Sep 29, 2023",5,Invited,"l'application orange bank est topl'application orange bank est vraiment bien le virement instantané entre orange bank c'est topDate of experience: October 26, 2022"
2,Orange Bank,Abiraje Sharma,36 reviews,AE,Chrges and conversion rates wil be…,"Sep 19, 2023","Mistake of course, no ?","Sep 21, 2023",5,Invited,"Chrges and conversion rates wil be…Chrges and conversion rates wil be applied for amendments or re issuanceDate of experience: July 29, 2023"
3,Orange Bank,edgar fletcher,2 reviews,MX,Good Service,"Apr 3, 2023","Bonjour Edgar,Merci pour votre avis exprimé dans la langue de Shakespeare.Je vous répondrai dans la langue de Molière que nous sommes ravis que vous ayez trouvé réponse à votre attente au travers du Chat.Notre service client téléphonique est actuellement réservé en priorité aux clients clients premium, mais je transmets votre souhait.Bonne journée à vous,Romainps : Thanks a lot for these beautifull five stars","Apr 4, 2023",5,Invited,"Good ServiceQuick and precise answer to my query. The agent on the chat was up to date with the status of my account.Suggestion is that you make a phone number also available... some of us prefer phones to chats!Date of experience: April 02, 2023"
4,Orange Bank,Loisy,2 reviews,FR,Super!,"Nov 2, 2023","Bon, ben super alors ! Merci à vous 🙂","Nov 9, 2023",5,Invited,"Super!Super!!!!!Date of experience: November 02, 2023"
5,Orange Bank,Grimaud,1 review,BE,Orange bank banque efficace,"Jan 25, 2023","Bonjour Grimaud, Nous savons à quel point votre temps est précieux😊 ! C'est pourquoi nous nous engageons à vous faire passer moins de temps à gérer votre compte grâce au ""real-time balance"" => solde en temps réel. En outre, afin de vous protéger contre les risques de piratage, il est très important que nous nous assurions que votre compte est sécurisé.Ensemble, faisons preuve de vigilance 👌 ! Bonne journée, Max ","Feb 2, 2023",5,Invited,"Orange bank banque efficaceOrange bank devient ma.premiere banque simple efficace et en temps réel plus besoin de faire les comptesLa sécurité est excellenteDate of experience: January 24, 2023"
6,Orange Bank,Pierre,2 reviews,FR,Simplicité,"Oct 30, 2023",Merci Pierre pour ce résumé d'une grande simplicité.,"Nov 9, 2023",5,Invited,"SimplicitéApplication intuitive et simpleDate of experience: September 30, 2023"
7,Orange Bank,Marco Bacelar,2 reviews,PT,I deal with several banks,"Feb 6, 2023",HelloThank you very much for your feedback; we are glad to hear from you and happy to see that you are satisfied with our offer Francis ,"Feb 6, 2023",4,Invited,"I deal with several banksI deal with several banks, but Orange Bank is my favorite, the security in this bank is guaranteed.Good employees, always answer the phone. I have been with Orange Bank for more than a year and now I want to order a card here for my eldest daughter!Date of experience: February 06, 2023"
8,Orange Bank,BAUDRY Eric,3 reviews,FR,Satisfait du service Orange,"Oct 27, 2023",Merci Eric d'avoir pris le temps de venir nous en faire part ici et d'aussi belle façon (5✨),"Nov 9, 2023",5,Invited,"Satisfait du service OrangeDate of experience: September 28, 2023"
9,Orange Bank,mike,9 reviews,FR,I would not recommend Orange Bank,"Updated Mar 15, 2023","Bonjour Mike, Nous sommes sincèrement navrés d'apprendre que le conseiller en charge de votre demande n'ait pas pu répondre à vos attentes.Vous pouvez prendre contact avec nous par e-mail : webmaster@orangebank.fr.En vous souhaitant une belle journée,Emma","Mar 14, 2023",1,Invited,"I would not recommend Orange BankI would not recommend Orange Bank. Currently I am trying to transfer some funds from my account to another bank. They take the money from your account but do not transfer it. Then, 4 days later, they send an email telling you the transfer needs validating. However there is no way to validate the transfer in the application. So you have to ask the AI for help, who eventually connects you with a service advisor. I was connected to 'Sarah Conseiller 76' who was unable to help, and told me I have to wait another 48 hours to speak with an advisor who can validate the payment. When I questioned why, she ended the conversation by disconnecting me. A highly questionable way to deal with customers.Date of experience: March 14, 2023"
10,Orange Bank,Julien,2 reviews,DE,No emergency contact,"Jul 28, 2023","Bonjour Julien,Nous sommes désolés de l'expérience client que vous décrivez, cependant il peut arriver que le blocage de votre carte soit activé par sécurité à la suite d'une opération douteuse dont vous n'avez pas confirmé être à l'origine.Vous pouvez nous joindre au 01 43 60 01 52 si vous êtes client Premium, et sinon via le chat ou votre app. à bientôt,Margaux","Jul 31, 2023",1,Invited,"No emergency contactNo emergency number,  my card has been blocked without reason and I am stuck not being able to pay or withdraw cash.Date of experience: July 28, 2023"
11,Orange Bank,Brousse Master,3 reviews,NC,Efficience.,"Sep 23, 2023","Merci pour ces compliments efficients, et cette superbe note étoilée.Bonne journéeLucas ","Sep 25, 2023",5,Invited,"Efficience.Efficace, tranquille et sans souci. Efficient au quotidien.Date of experience: September 23, 2023"
12,Orange Bank,Serge,2 reviews,FR,Bonne comprehension,"Apr 1, 2023","Bonjour Serge,Nous en sommes ravis. Bravo à vous et à Lally.Bonne journéeLucas","Apr 7, 2023",5,Invited,"Bonne comprehensionBonne comprehension Tres bon accueil de lally.Date of experience: January 03, 2023"
13,Orange Bank,Mr_Arnaud,1 review,FR,Efficace !,"Mar 28, 2023","Bonjour Arnaud,Nous sommes heureux de vous voir entièrement satisfait de nos services.Merci beaucoup pour vos belles étoiles.N'hésitez pas à nous recommander autour de vous.Je vous souhaite une belle journée.Céline Expert Orange Bank.","Mar 30, 2023",5,Invited,"Efficace !Simple, fiable et fluide, tout simplement efficace !Date of experience: March 14, 2023"
14,Orange Bank,FLORENT ,8 reviews,GP,Service client Au Top,"Aug 26, 2023","Merci Florent pour votre soutien et votre témoignage en des termes aussi élogieux.Bonne journée à vous,Lowen","Aug 28, 2023",5,Invited,"Service client Au TopDate of experience: August 26, 2023"
15,Orange Bank,CYRIL G,3 reviews,FR,Pratique et simple,"Nov 29, 2022",,,5,Invited,"Pratique et simpleDate of experience: November 01, 2022"
